ID	GO_C	GO_P	LFCDIFF	CLUSTER	ISPHOS	LFC_0-1	LFC_1-2	LFC_2-3	LFC_3-4	LFC_4-5	LFC_5-6	LFC_6-7	LFC_7-8	LFC_8-9	LFC_9-10	LFC_10-11	LFC_11-12	MAX	MIN	NAME	UNIPROTID	VAR	TISSUE	SOURCETISSUE
AT4G33010.1			0.8875513019297323	1	0	0.8055597821387336	-0.053364962035672314	-0.08199151979099874	0.13928134516378515									0.8055597821387336	-0.08199151979099874	Glycine dehydrogenase (decarboxylating) 1, mitochondrial	Q94B78	0.17135997879515139	SH	EB
AT4G02530.1			3.7447699251008117	4	0	0.5119845017557906	2.0049104479993702	-1.7398594771014413	0.7031784158103744									2.0049104479993702	-1.7398594771014413	Thylakoid lumenal 16.5 kDa protein, chloroplastic	O22773	2.4185355433853166	SH	EB
AT5G66190.1			1.0403428836951911	1	0	0.6428632517422084	0.5294583112629223	-0.39747963195298286	0.2378987304034885									0.6428632517422084	-0.39747963195298286	Ferredoxin--NADP reductase, leaf isozyme 1, chloroplastic	Q9FKW6	0.2172580719032073	SH	EB
ATCG00770.1			0.6299301021002184	1	0	0.6950647058819079	0.33942864212978585	0.06513460378168956	0.36032458622554286									0.6950647058819079	0.06513460378168956	30S ribosomal protein S8, chloroplastic	P56801	0.06651257306406792	SH	EB
AT2G27680.1			1.0271450948952485	1	0	0.2490414690637283	0.5492554716628474	-0.47788962323240103	0.30113813541606965									0.5492554716628474	-0.47788962323240103	At2g27680/F15K20.22	Q9ZUX0	0.19539540251724	SH	EB
AT3G13570.1			1.0198876317487888	1	1	0.12770588920916184	-0.5869798258514125	0.43290780589737626	-0.12442649866079551									0.43290780589737626	-0.5869798258514125	Serine/arginine-rich SC35-like splicing factor SCL30A	Q9LHP2	0.18602020926678456	SH	EB
AT1G55480.1			1.1505514813660223	3	0	0.7406793629480795	0.580116417902794	-0.40987211841794285	0.2983798471619561									0.7406793629480795	-0.40987211841794285	Protein MET1, chloroplastic	Q94BS2	0.25885430636223966	SH	EB
AT4G17170.1			0.18838403132578985	1	0	0.08244786503496979	0.020672793814153743	-0.10521879642938407	0.08316523489640576									0.08316523489640576	-0.10521879642938407	Ras-related protein RABB1c	P92963	0.007856499234504426	SH	EB
AT3G27850.1			1.5012058162768414	5	0	0.48797256435921615	0.9396304358190983	-0.561575380457743	0.4617093104506711									0.9396304358190983	-0.561575380457743	50S ribosomal protein L12-3, chloroplastic	P36212	0.4029478786142841	SH	EB
AT2G40100.1			1.778665083269262	5	0	0.6139048625134246	1.1071507398972058	-0.6715143433720563	0.605955115459892									1.1071507398972058	-0.6715143433720563	Chlorophyll a-b binding protein CP29.3, chloroplastic	Q9S7W1	0.5785359982948602	SH	EB
AT3G27160.1			0.5056051695345298	1	0	0.14992715037178336	-0.12235735661215488	0.383247812922375	-0.10710276360318614									0.383247812922375	-0.12235735661215488	Ribosomal protein S21 family protein	Q9LI88	0.05757956158011448	SH	EB
AT3G03910.1			0.3053700416901973	1	0	-0.3104604146544497	-0.22272987101239308	-0.1829615146324633	-0.005090372964252346									-0.005090372964252346	-0.3104604146544497	Probable glutamate dehydrogenase 3	Q9S7A0	0.016482508039548385	SH	EB
AT1G03130.1			2.150296549787426	2	0	1.2880961425689206	1.1596230664463332	-0.8622004072185052	0.45126954944802694									1.2880961425689206	-0.8622004072185052	Photosystem I reaction center subunit II-2, chloroplastic	Q9SA56	0.9712747934201694	SH	EB
AT5G64200.2			0.6904098291490468	1	1	0.06384955056280231	-0.3842172847237608	0.30619254442528604	-0.054265808970814525									0.30619254442528604	-0.3842172847237608	Serine/arginine-rich splicing factor SC35	Q9FMG4	0.08240909889882457	SH	EB
ATCG00120.1			1.0197531644562534	1	0	0.5810956996127645	0.4636742569010465	-0.43865746484348883	0.2760568824065482									0.5810956996127645	-0.43865746484348883	ATP synthase subunit alpha, chloroplastic	P56757	0.20891270042277701	SH	EB
AT1G31330.1			2.5031183598918156	5	0	0.5026425071552901	1.5116671537857962	-0.9914512061060194	0.7694578522896621									1.5116671537857962	-0.9914512061060194	Photosystem I reaction center subunit III, chloroplastic	Q9SHE8	1.1032428393923999	SH	EB
AT3G57080.1			0.8390181250854256	1	0	0.43771293724674065	0.5400739521310606	-0.298944172954365	0.2601518973006726									0.5400739521310606	-0.298944172954365	DNA-directed RNA polymerase V subunit 5A	Q9M1J2	0.1399637987551397	SH	EB
AT1G65450.1			1.0280680777162952	1	0	0.4883841264978758	-0.5396839512184193	0.029617514031791317	0.060559417360058966									0.4883841264978758	-0.5396839512184193	HXXXD-type acyl-transferase family protein	O80816	0.1779815350101495	SH	EB
AT5G20280.1			1.1573022449843926	1	1	-0.09387951539603696	-0.7136278190420304	0.44367442594236217	-0.2035308484728436									0.44367442594236217	-0.7136278190420304	Sucrose-phosphate synthase 1	Q94BT0	0.2252914739522244	SH	EB
ATCG01120.1			0.5796192376525349	1	0	0.40380692493098097	0.42357502320312695	-0.1560442144494079	0.3901139460379973									0.42357502320312695	-0.1560442144494079	30S ribosomal protein S15, chloroplastic	P56805	0.07911486785456028	SH	EB
AT3G02360.2			0.17960794312556055	1	0	0.03820847802285124	-0.09268959480322586	0.0869183483223347	0.07313671871613572									0.0869183483223347	-0.09268959480322586	6-phosphogluconate dehydrogenase, decarboxylating 2	Q9FWA3	0.006722854311326679	SH	EB
AT1G65590.1			0.21244155302362944	1	0	0.11424695112972982	-0.0981946018938996	-0.014769665518197528	0.06818212632442877									0.11424695112972982	-0.0981946018938996	Beta-hexosaminidase 3	Q8L7S6	0.008785050364878394	SH	EB
AT5G08050.1			2.8007217227184764	2	1	0.6072472352044301	1.5869819463620942	-1.213739776356382	0.7901083622326694									1.5869819463620942	-1.213739776356382	Wiskott-aldrich syndrome family protein, putative (DUF1118)	Q9SD79	1.400314086001303	SH	EB
AT2G23170.1			1.1078285989420822	1	0	0.15098462049039935	-0.5364332519192491	0.571395347022833	0.06805125546215361									0.571395347022833	-0.5364332519192491	Indole-3-acetic acid-amido synthetase GH3.3	O22190	0.20851728767781696	SH	EB
AT1G51400.1			1.8816726730018074	5	0	0.5433223129639138	1.149799725497519	-0.7318729475042884	0.4311734099251729									1.149799725497519	-0.7318729475042884	At1g51400/F5D21_10	Q9SYE2	0.6180256533309672	SH	EB
