ID	UNIPROTID	CLUSTER	GO_C	GO_P	ISPHOS	LFCDIFF	MAX	MIN	NAME	VAR	TISSUE	SOURCETISSUE	LFC_0-1	LFC_1-2	LFC_2-3	LFC_3-4	LFC_4-5	LFC_5-6	LFC_6-7	LFC_7-8	LFC_8-9	LFC_9-10	LFC_10-11	LFC_11-12
AT2G23350.1	O22173	2	cytoplasm	regulation of translation	1	1.1554689338615474	0.49625459390274945	-0.659214339958798	PABP4_ARATH	0.22644673745323132	EB	EB	-0.06550298133880243	-0.659214339958798	0.49625459390274945	-0.2006040168306623								
AT1G49970.1	Q9XJ35	1	chloroplast	chloroplast organization	0	0.4003605992229096	0.33950825208899443	-0.06085234713391517	CLPR1_ARATH	0.028906696244160257	EB	EB	0.20059142784923353	0.33950825208899443	-0.06085234713391517	0.2334479734407375								
AT5G08300.1	P68209	2	cell wall	nucleoside triphosphate biosynthetic process	1	1.0055987739585204	0.432996780569718	-0.5726019933888024	SUCA1_ARATH	0.1767584272345076	EB	EB	0.0074760709245929756	-0.5726019933888024	0.432996780569718	-0.21009326177722862								
AT1G14030.1	Q9XI84	1	chloroplast	peptidyl-lysine monomethylation	0	0.8853763366885367	0.48871925251044235	-0.3966570841780943	RBCMT_ARATH	0.15403346173766538	EB	EB	0.3236210423759411	0.48871925251044235	-0.3966570841780943	0.29681810376652923								
AT3G52300.1	Q9FT52	1	chloroplast	ATP synthesis coupled proton transport	0	1.2633586118031463	0.7614336325604347	-0.5019249792427116	ATP5H_ARATH	0.31089548622116125	EB	EB	0.20321768386270106	0.7614336325604347	-0.5019249792427116	0.5722549634778903								
AT5G27200.1	O04652	1	chloroplast	response to salt stress	0	5.866026324365736	3.50199547596917	-2.3640308483965655	ACP5_ARATH	5.7897648615160255	EB	EB	0.66268503925456	3.50199547596917	-2.3640308483965655	1.0596491016898808								
AT4G12060.1	Q8GW78	1	chloroplast	protein metabolic process	0	2.780796228130144	1.6265048211326614	-1.1542914069974828	CLPT2_ARATH	1.3416855329356288	EB	EB	0.5648428973487865	1.6265048211326614	-1.1542914069974828	0.6854849448747908								
AT4G24620.1	Q8H103	1	chloroplast	gluconeogenesis	1	0.7659603162281876	0.49974225823440355	-0.2662180579937841	G6PIP_ARATH	0.11270598342639204	EB	EB	0.37222338159695123	0.49974225823440355	-0.2662180579937841	0.24295843533993905								
AT2G20260.1	Q9S714	1	chloroplast	photosynthesis	0	1.5766580805047812	0.9687282618375239	-0.6079298186672573	PSAE2_ARATH	0.5170580686686089	EB	EB	0.8602638471601969	0.9687282618375239	-0.6079298186672573	0.4188481435292118								
AT1G27595.1	F4HSZ1	2			1	0.6344237378956261	0.24709026904768622	-0.38733346884793984	F4HSZ1_ARATH	0.08468545441920335	EB	EB	0.2003425256987467	-0.38733346884793984	0.24709026904768622	-0.053382555734800316								
AT5G45390.1	Q94B60	1	chloroplast	chloroplast organization	0	1.7616922772757482	0.9774126820680142	-0.7842795952077339	CLPP4_ARATH	0.5546375437198839	EB	EB	0.2875597953053413	0.9774126820680142	-0.7842795952077339	0.5024079969250069								
AT1G17050.1	Q76FS5	1	chloroplast	isoprenoid biosynthetic process	0	3.6001309135901147	1.9623867376088155	-1.6377441759812994	SPS2_ARATH	2.308881623186574	EB	EB	0.3483151871232883	1.9623867376088155	-1.6377441759812994	0.9754171866300785								
AT3G43670.1	Q9M2B9	1		amine metabolic process	0	3.0867737960340795	1.6978975289822948	-1.388876267051785	Q9M2B9_ARATH	1.6791171463366747	EB	EB	0.3908519126820109	1.6978975289822948	-1.388876267051785	0.7942748022027831								
AT5G50460.1	P0DI74	1	endoplasmic reticulum membrane	protein targeting	0	2.41402355551093	1.3060976708317706	-1.1079258846791595	S61G1_ARATH	1.1414607206036445	EB	EB	0.416811470335818	1.3060976708317706	-1.1079258846791595	0.973826956787175								
AT5G16230.1	Q9LF05	1	chloroplast stroma	endosperm development	0	2.0590524053833903	1.3895702949274038	-0.6694821104559863	STAD3_ARATH	0.8121010282694504	EB	EB	1.0467404391640946	1.3895702949274038	-0.6694821104559863	0.5361948509580315								
AT1G04420.1	Q8VZ23	1	chloroplast		0	1.2616420303220304	0.6542788073887098	-0.6073632229333206	Q8VZ23_ARATH	0.2958406840268558	EB	EB	0.281700117309624	0.6542788073887098	-0.6073632229333206	0.36038339782350803								
AT5G04900.1	Q8LEU3	1	chloroplast	chlorophyll catabolic process	0	1.3097667378043396	0.7095148290319198	-0.6002519087724199	NOL_ARATH	0.31300891612536164	EB	EB	0.33473481513527564	0.7095148290319198	-0.6002519087724199	0.3445597870853728								
AT3G63040.1	Q9LYB8	1			0	5.1060555392276274	3.0224927243362636	-2.083562814891364	Q9LYB8_ARATH	4.46837150899973	EB	EB	0.4607873193855379	3.0224927243362636	-2.083562814891364	1.168154185558619								
AT4G01900.1	Q9ZST4	1	chloroplast	anthocyanin-containing compound biosynthetic process	0	2.3079468638637044	1.354729042859915	-0.9532178210037896	GLNB_ARATH	0.9564189215062036	EB	EB	0.7547534674329736	1.354729042859915	-0.9532178210037896	0.4276640057040785								
AT5G15530.1	Q9LLC1	1	acetyl-CoA carboxylase complex	fatty acid biosynthetic process	0	1.3209537863679843	0.9424348849770595	-0.3785189013909248	BCCP2_ARATH	0.3592606907828062	EB	EB	0.9424348849770595	0.7855991010929797	-0.3785189013909248	0.23008180482608076								
AT4G13050.1	Q9SV64	1	chloroplast	fatty acid biosynthetic process	0	0.715921939826126	0.5751924435666191	-0.14072949625950681	FATA2_ARATH	0.0986350173028348	EB	EB	0.5751924435666191	0.45842700148408144	-0.14072949625950681	0.2639764901414398								
AT2G39260.1	F4IUX6	2	cytoplasm	defense response to bacterium	1	0.5505657382732845	0.20541445210284273	-0.3451512861704417	RENT2_ARATH	0.05461830733567505	EB	EB	0.0647824843468888	-0.3451512861704417	0.20541445210284273	-0.008397139978503283								
